,label,log_counts,last_ts,duration,About,Add Friend,Add to Playlist,Downgrade,Error,Help,Home,Logout,NextSong,Roll Advert,Save Settings,Settings,Submit Downgrade,Submit Upgrade,Thumbs Down,Thumbs Up,Upgrade,valid_level,gender,avg_length,music_days,music_days_per_day,About_per_day,Add Friend_per_day,Add to Playlist_per_day,Downgrade_per_day,Error_per_day,Help_per_day,Home_per_day,Logout_per_day,NextSong_per_day,Roll Advert_per_day,Save Settings_per_day,Settings_per_day,Submit Downgrade_per_day,Submit Upgrade_per_day,Thumbs Down_per_day,Thumbs Up_per_day,Upgrade_per_day,music_days_per_log,About_per_log,Add Friend_per_log,Add to Playlist_per_log,Downgrade_per_log,Error_per_log,Help_per_log,Home_per_log,Logout_per_log,NextSong_per_log,Roll Advert_per_log,Save Settings_per_log,Settings_per_log,Submit Downgrade_per_log,Submit Upgrade_per_log,Thumbs Down_per_log,Thumbs Up_per_log,Upgrade_per_log
0,0,381,1542823952000,44,1,4,7,0,0,2,11,5,275,52,0,0,0,0,5,17,2,free,F,243.421444909091,7,0.1590909090909091,0.022727272727272728,0.09090909090909091,0.1590909090909091,0.0,0.0,0.045454545454545456,0.25,0.11363636363636363,6.25,1.1818181818181819,0.0,0.0,0.0,0.0,0.11363636363636363,0.38636363636363635,0.045454545454545456,0.01837270341207349,0.0026246719160104987,0.010498687664041995,0.01837270341207349,0.0,0.0,0.005249343832020997,0.028871391076115485,0.013123359580052493,0.7217847769028871,0.13648293963254593,0.0,0.0,0.0,0.0,0.013123359580052493,0.04461942257217848,0.005249343832020997
1,0,474,1542324354000,45,3,4,8,5,0,2,20,5,387,7,0,3,0,1,6,21,2,paid,M,242.91699209302305,8,0.17777777777777778,0.06666666666666667,0.08888888888888889,0.17777777777777778,0.1111111111111111,0.0,0.044444444444444446,0.4444444444444444,0.1111111111111111,8.6,0.15555555555555556,0.0,0.06666666666666667,0.0,0.022222222222222223,0.13333333333333333,0.4666666666666667,0.044444444444444446,0.016877637130801686,0.006329113924050633,0.008438818565400843,0.016877637130801686,0.010548523206751054,0.0,0.004219409282700422,0.04219409282700422,0.010548523206751054,0.8164556962025317,0.014767932489451477,0.0,0.006329113924050633,0.0,0.002109704641350211,0.012658227848101266,0.04430379746835443,0.004219409282700422
2,1,11,1539318918000,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,free,M,261.13913750000006,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,4825,1543590766000,59,7,74,118,41,6,23,176,59,4079,4,6,20,0,0,41,171,0,paid,F,248.17653659965674,35,0.5932203389830508,0.11864406779661017,1.2542372881355932,2.0,0.6949152542372882,0.1016949152542373,0.3898305084745763,2.983050847457627,1.0,69.13559322033899,0.06779661016949153,0.1016949152542373,0.3389830508474576,0.0,0.0,0.6949152542372882,2.8983050847457625,0.0,0.007253886010362694,0.001450777202072539,0.01533678756476684,0.0244559585492228,0.00849740932642487,0.001243523316062176,0.004766839378238342,0.036476683937823835,0.0122279792746114,0.8453886010362694,0.0008290155440414508,0.001243523316062176,0.004145077720207254,0.0,0.0,0.00849740932642487,0.03544041450777202,0.0
4,1,2464,1539761972000,15,2,28,52,23,1,12,75,24,2111,0,1,12,0,0,21,100,0,paid,M,247.88055082899118,14,0.9333333333333333,0.13333333333333333,1.8666666666666667,3.466666666666667,1.5333333333333334,0.06666666666666667,0.8,5.0,1.6,140.73333333333332,0.0,0.06666666666666667,0.8,0.0,0.0,1.4,6.666666666666667,0.0,0.005681818181818182,0.0008116883116883117,0.011363636363636364,0.021103896103896104,0.009334415584415584,0.00040584415584415587,0.00487012987012987,0.030438311688311688,0.00974025974025974,0.856737012987013,0.0,0.00040584415584415587,0.00487012987012987,0.0,0.0,0.008522727272727272,0.040584415584415584,0.0
5,0,201,1542955611000,50,0,1,5,0,1,1,10,3,150,16,1,3,0,0,1,7,2,free,M,253.5605806666668,7,0.14,0.0,0.02,0.1,0.0,0.02,0.02,0.2,0.06,3.0,0.32,0.02,0.06,0.0,0.0,0.02,0.14,0.04,0.03482587064676617,0.0,0.004975124378109453,0.024875621890547265,0.0,0.004975124378109453,0.004975124378109453,0.04975124378109453,0.014925373134328358,0.746268656716418,0.07960199004975124,0.004975124378109453,0.014925373134328358,0.0,0.0,0.004975124378109453,0.03482587064676617,0.009950248756218905
6,0,2278,1543121818000,54,2,31,59,28,2,8,93,27,1914,1,2,16,0,0,14,81,0,paid,M,249.37701452978064,18,0.3333333333333333,0.037037037037037035,0.5740740740740741,1.0925925925925926,0.5185185185185185,0.037037037037037035,0.14814814814814814,1.7222222222222223,0.5,35.44444444444444,0.018518518518518517,0.037037037037037035,0.2962962962962963,0.0,0.0,0.25925925925925924,1.5,0.0,0.007901668129938543,0.000877963125548727,0.013608428446005268,0.025899912203687446,0.012291483757682178,0.000877963125548727,0.003511852502194908,0.040825285338015806,0.011852502194907815,0.8402107111501317,0.0004389815627743635,0.000877963125548727,0.007023705004389816,0.0,0.0,0.006145741878841089,0.03555750658472344,0.0
7,1,3437,1542051608000,42,5,33,72,39,1,17,129,36,2841,47,3,17,1,1,29,163,1,paid,F,250.38539934530132,30,0.7142857142857143,0.11904761904761904,0.7857142857142857,1.7142857142857142,0.9285714285714286,0.023809523809523808,0.40476190476190477,3.0714285714285716,0.8571428571428571,67.64285714285714,1.119047619047619,0.07142857142857142,0.40476190476190477,0.023809523809523808,0.023809523809523808,0.6904761904761905,3.880952380952381,0.023809523809523808,0.008728542333430317,0.0014547570555717194,0.009601396566773349,0.02094850160023276,0.011347105033459412,0.0002909514111143439,0.004946173988943846,0.03753273203375036,0.01047425080011638,0.826592958975851,0.013674716322374164,0.0008728542333430317,0.004946173988943846,0.0002909514111143439,0.0002909514111143439,0.008437590922315974,0.04742508001163805,0.0002909514111143439
8,0,1002,1543405710000,25,2,11,24,12,3,9,30,14,820,8,0,5,0,1,3,58,2,paid,F,242.4137706097561,8,0.32,0.08,0.44,0.96,0.48,0.12,0.36,1.2,0.56,32.8,0.32,0.0,0.2,0.0,0.04,0.12,2.32,0.08,0.007984031936127744,0.001996007984031936,0.010978043912175649,0.023952095808383235,0.011976047904191617,0.0029940119760479044,0.008982035928143712,0.029940119760479042,0.013972055888223553,0.8183632734530938,0.007984031936127744,0.0,0.00499001996007984,0.0,0.000998003992015968,0.0029940119760479044,0.05788423153692615,0.001996007984031936
9,1,310,1542740649000,41,0,6,7,3,0,2,7,3,257,2,0,1,0,0,3,17,0,paid,M,263.43763455252935,6,0.14634146341463414,0.0,0.14634146341463414,0.17073170731707318,0.07317073170731707,0.0,0.04878048780487805,0.17073170731707318,0.07317073170731707,6.2682926829268295,0.04878048780487805,0.0,0.024390243902439025,0.0,0.0,0.07317073170731707,0.4146341463414634,0.0,0.01935483870967742,0.0,0.01935483870967742,0.02258064516129032,0.00967741935483871,0.0,0.0064516129032258064,0.02258064516129032,0.00967741935483871,0.8290322580645161,0.0064516129032258064,0.0,0.0032258064516129032,0.0,0.0,0.00967741935483871,0.054838709677419356,0.0
10,0,2304,1542833772000,50,4,41,38,19,3,16,83,34,1928,2,4,17,0,1,17,96,1,paid,F,250.58034431535253,22,0.44,0.08,0.82,0.76,0.38,0.06,0.32,1.66,0.68,38.56,0.04,0.08,0.34,0.0,0.02,0.34,1.92,0.02,0.009548611111111112,0.001736111111111111,0.017795138888888888,0.016493055555555556,0.008246527777777778,0.0013020833333333333,0.006944444444444444,0.03602430555555555,0.014756944444444444,0.8368055555555556,0.0008680555555555555,0.001736111111111111,0.007378472222222222,0.0,0.00043402777777777775,0.007378472222222222,0.041666666666666664,0.00043402777777777775
11,0,118,1543330565000,24,0,3,1,0,0,1,6,2,84,10,0,0,0,0,0,11,0,free,F,245.9526655952382,3,0.125,0.0,0.125,0.041666666666666664,0.0,0.0,0.041666666666666664,0.25,0.08333333333333333,3.5,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.025423728813559324,0.0,0.025423728813559324,0.00847457627118644,0.0,0.0,0.00847457627118644,0.05084745762711865,0.01694915254237288,0.711864406779661,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.09322033898305085,0.0
12,1,2149,1539729037000,15,2,29,61,22,3,12,74,24,1797,8,2,9,0,1,16,86,1,paid,M,249.00612947690533,13,0.8666666666666667,0.13333333333333333,1.9333333333333333,4.066666666666666,1.4666666666666666,0.2,0.8,4.933333333333334,1.6,119.8,0.5333333333333333,0.13333333333333333,0.6,0.0,0.06666666666666667,1.0666666666666667,5.733333333333333,0.06666666666666667,0.00604932526756631,0.0009306654257794323,0.013494648673801768,0.028385295486272687,0.010237319683573755,0.0013959981386691485,0.005583992554676594,0.034434620753839,0.011167985109353188,0.8362028850628199,0.0037226617031177293,0.0009306654257794323,0.004187994416007445,0.0,0.00046533271288971617,0.007445323406235459,0.04001861330851559,0.00046533271288971617
